dir,shape_hash,triton_us,cutile_us,cutile_over_triton,triton_status,cutile_status,compile_us_triton,compile_us_cutile,triton_ratio,cutile_ratio
amax_amax_any_00b1a5ec08e7,279c055a,425.7,,,BAD_ORACLE,,393.12,,0.923,
amax_amax_any_060e1b80b730,782e420b,372.45,,,BAD_ORACLE,,349.79,,0.939,
amax_amax_any_0ec44ac10279,279c055a,,1525.82,,,BAD_ORACLE,,393.18,,0.258
amax_amax_any_0fdc40421199,279c055a,425.57,2736.32,6.429776535000118,BAD_ORACLE,BAD_ORACLE,393.06,394.02,0.924,0.144
amax_amax_any_1032c76c1118,782e420b,372.45,2221.25,5.963887770170492,BAD_ORACLE,BAD_ORACLE,349.06,326.5,0.937,0.147
amax_amax_any_1d635744b017,782e420b,372.48,,,BAD_ORACLE,,349.02,,0.937,
amax_amax_any_20f548adfc44,279c055a,,2649.15,,,BAD_ORACLE,,394.05,,0.149
amax_amax_any_395c2caa2db4,866d908a,10.91,13.18,1.2080659945004582,AT_FLOOR,BAD_ORACLE,11.26,11.23,1.032,0.852
amax_amax_any_48885b3e39bd,782e420b,372.54,,,BAD_ORACLE,,349.18,,0.937,
amax_amax_any_50e98af7b82f,279c055a,425.63,1410.02,3.3127834034255104,BAD_ORACLE,BAD_ORACLE,393.15,393.22,0.924,0.279
amax_amax_any_51bc7720062d,782e420b,371.55,2467.94,6.642282330776477,BAD_ORACLE,BAD_ORACLE,348.03,348.9,0.937,0.141
amax_amax_any_5b0603c46fd7,782e420b,371.78,2612.35,7.026601753725322,BAD_ORACLE,BAD_ORACLE,349.02,349.22,0.939,0.134
amax_amax_any_64122cb93d29,782e420b,372.48,2075.55,5.572245489690722,BAD_ORACLE,BAD_ORACLE,348.99,349.12,0.937,0.168
amax_amax_any_6f91ff3fb804,782e420b,372.51,,,BAD_ORACLE,,348.96,,0.937,
amax_amax_any_71d47d6ca14c,782e420b,372.29,,,BAD_ORACLE,,349.15,,0.938,
amax_amax_any_7a1b8aec6077,279c055a,,1388.54,,,BAD_ORACLE,,393.86,,0.284
amax_amax_any_7de69635670c,279c055a,,2722.98,,,BAD_ORACLE,,394.08,,0.145
amax_amax_any_802aa7965fa7,782e420b,372.38,2272.51,6.102663945432086,BAD_ORACLE,BAD_ORACLE,348.8,349.18,0.937,0.154
amax_amax_any_80cdfb3610b6,279c055a,,1383.33,,,BAD_ORACLE,,394.11,,0.285
amax_amax_any_83a07ed6c707,782e420b,371.74,3013.7,8.107010275999354,BAD_ORACLE,BAD_ORACLE,349.06,349.09,0.939,0.116
amax_amax_any_9582cee78906,782e420b,371.78,,,BAD_ORACLE,,349.02,,0.939,
amax_amax_any_98dd9cb433ce,279c055a,,1382.53,,,BAD_ORACLE,,394.05,,0.285
amax_amax_any_99661ef23d1d,279c055a,425.76,2736.26,6.426766253288238,BAD_ORACLE,BAD_ORACLE,390.94,391.07,0.918,0.143
amax_amax_any_99a4f19df20a,4a104aa9,318.37,,,BAD_ORACLE,,286.53,,0.9,
amax_amax_any_9ee9daa6929a,782e420b,372.45,,,BAD_ORACLE,,349.12,,0.937,
amax_amax_any_b8745b71b07d,782e420b,372.48,2613.28,7.015893470790378,BAD_ORACLE,BAD_ORACLE,325.44,325.57,0.874,0.125
amax_amax_any_b95e33d56ab6,782e420b,372.51,1459.36,3.9176397949048347,BAD_ORACLE,BAD_ORACLE,325.34,326.56,0.873,0.224
amax_amax_any_b9844e73a342,782e420b,372.54,,,BAD_ORACLE,,349.22,,0.937,
amax_amax_any_c92f837439d6,782e420b,372.58,,,BAD_ORACLE,,325.5,,0.874,
amax_amax_any_dc2cfaa9c1cb,279c055a,,2761.7,,,BAD_ORACLE,,394.05,,0.143
