pattern_prefix,count,max_gap,geomean_gap,median_gap,representative_repros,top_ops,models
sum_sum_sum,205,61.876322903551035,2.836865043829138,2.573070783958771,sum_sum_sum_45f02142ecfd;sum_sum_sum_f90d684d32cb;sum_sum_sum_dadf6aa035dd;sum_sum_sum_9e60972dd685;sum_sum_sum_2c925f59efff;sum_sum_sum_95dac16d4328;sum_sum_sum_afd118ca907d;sum_sum_sum_cd47d7ca4703;sum_sum_sum_82a3f0084247;sum_sum_sum_72d5ffa26b42;sum_sum_sum_6a2ad206248c;sum_sum_sum_8e6cde42e572,aten.unsqueeze.default:16;aten.mul.Tensor:14;aten.add.Tensor:7;aten.index_put.default:4;aten.sub.Tensor:4;aten.neg.default:3;aten.sum.dim_IntList:3;aten.squeeze.dims:2;aten.constant_pad_nd.default:1;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1,torchbench_pytorch_unet_train_001
sum,109,15.155210415077814,1.9578988147845102,1.5236236802984107,sum_adeaebad93f7;sum_18262b26934c;sum_3ee4028cab37;sum_7df61c52c7f8;sum_7ee057acd9bc;sum_34d3dca078b3;sum_bc4a942a8c4f;sum_14fe7b321763;sum_8a66186d1ffe;sum_617cd87647d6;sum_5a4992885bd6;sum_0becf9609ad7,aten.gather.default:4;prims.inductor_lookup_seed.default:4;aten.expand.default:3;prims.inductor_randint.default:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.sub.Tensor:2;aten.view.default:2;aten.add.Tensor:1;aten.cat.default:1;aten.slice.Tensor:1;aten.sort.default:1,torchbench_demucs_train_000
pointwise,178,14.557724457979456,1.9224472766867895,1.6729910545350557,pointwise_531d72f1b34a;pointwise_70c0751eb408;pointwise_a14dcfc06344;pointwise_a2382a85ee99;pointwise_f9c1d1b08ddb;pointwise_6d842b54b40d;pointwise_13f26d420251;pointwise_437415a3398d;pointwise_cf3acd87ba9e;pointwise_55a3cc897c83;pointwise_71e3a6c09140;pointwise_f2df04089ff4,aten.select.int:463;aten.slice.Tensor:253;aten.mul.Tensor:153;aten.select_scatter.default:150;aten.div.Tensor:75;aten.add.Tensor:72;aten.neg.default:58;aten.sub.Tensor:51;aten.unsqueeze.default:51;aten.copy.default:50;aten.full.default:35;aten.slice_scatter.default:33,torchbench_pyhpc_turbulent_kinetic_energy_infer_000
sum_sum,135,11.149567415939694,2.2696534351938755,2.0626703538920044,sum_sum_8bcd6e12dcd4;sum_sum_3219a09ab96a;sum_sum_6a14a9c9ba88;sum_sum_e9338369070e;sum_sum_a7c7ab7bfcf5;sum_sum_0930bd38b7d1;sum_sum_67d7103962e7;sum_sum_d73ef74614dc;sum_sum_4bd81dea302d;sum_sum_3c44d89daf3a;sum_sum_addc448a9236;sum_sum_ced249279c9d,aten.view.default:3;aten.slice.Tensor:2;aten.sum.dim_IntList:2;aten.where.self:2;aten.full.default:1;aten.scatter_add.default:1;prims._low_memory_max_pool_offsets_to_indices.default:1,torchbench_squeezenet1_1_train_001
amax_sum,38,10.81421273817569,3.090840358902364,3.1346733380250464,amax_sum_9940b361e5b4;amax_sum_4c524f75213e;amax_sum_67d7c2666a5c;amax_sum_7e55413cb344;amax_sum_5f0c26b7e967;amax_sum_68fe981b18dd;amax_sum_87e1fb077f24;amax_sum_4bd27b112605;amax_sum_93cb2fd0355b;amax_sum_35490be2986b;amax_sum_0f87f6568d0f;amax_sum_f5253e4f250e,aten.slice.Tensor:58;aten.permute.default:28;aten.view.default:27;aten.slice_scatter.default:22;aten.unsqueeze.default:15;aten.full.default:13;aten.copy.default:12;aten.select.int:12;aten.where.self:8;prims.convert_element_type.default:7;aten.expand.default:4;aten.select_scatter.default:4,torchbench_hf_Longformer_infer_002
var_mean_var_mean,12,8.303303517259987,2.5723096486113612,2.862102776115515,var_mean_var_mean_6d7a29cb97f1;var_mean_var_mean_40a0055bb26e;var_mean_var_mean_73e1a842318f;var_mean_var_mean_aabd7680d8e0;var_mean_var_mean_0795d88a1e39;var_mean_var_mean_7eb8a9047c3e;var_mean_var_mean_8c8eb33a711a;var_mean_var_mean_ca75e017814e;var_mean_var_mean_de5c360021d3;var_mean_var_mean_98a1510ddc30;var_mean_var_mean_2989608c4b10;var_mean_var_mean_99567a16bff5,aten.mul.Tensor:14;aten.unsqueeze.default:11;aten.add.Tensor:8;<built-in function getitem>:6;aten.squeeze.dims:5;aten.copy_.default:4;aten.sub.Tensor:3;aten.relu.default:2;aten.rsqrt.default:2;aten.var_mean.correction:2;prims._low_memory_max_pool_with_offsets.default:1,torchbench_densenet121_train_000
var_mean,224,7.520309444074449,1.6730973778934104,1.5878004486401303,var_mean_765fb8f2c85e;var_mean_f0d7c08a0622;var_mean_598830735cf6;var_mean_6d9f14e83fbb;var_mean_21efaf61742a;var_mean_2f7685c1567b;var_mean_83a48287f334;var_mean_cf2474e318ae;var_mean_0a0eec8ae477;var_mean_b0e2cade591e;var_mean_6f5e73770101;var_mean_5b0c15caa439,aten.mul.Tensor:7;<built-in function getitem>:4;aten.add.Tensor:4;aten.unsqueeze.default:4;aten.copy_.default:2;aten.squeeze.dims:2;aten.avg_pool2d.default:1;aten.relu.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;prims._low_memory_max_pool_with_offsets.default:1,timm_adv_inception_v3_train;timm_adv_inception_v3_train_000;timm_inception_v3_train;timm_inception_v3_train_000;timm_timm_adv_inception_v3_train_train_000;timm_timm_inception_v3_train_train_000
var_mean_var_mean_var_mean,6,5.673386866230065,4.340917462742154,4.86132831928903,var_mean_var_mean_var_mean_0407b3e7c77f;var_mean_var_mean_var_mean_9267280d8024;var_mean_var_mean_var_mean_97062ec87370;var_mean_var_mean_var_mean_850152d806da;var_mean_var_mean_var_mean_5d12643e9b78;var_mean_var_mean_var_mean_850dfa63ec81,aten.mul.Tensor:28;aten.add.Tensor:16;aten.unsqueeze.default:16;<built-in function getitem>:8;aten.copy_.default:8;aten.squeeze.dims:8;aten.relu.default:4;aten.rsqrt.default:4;aten.sub.Tensor:4;aten.var_mean.correction:4;aten.avg_pool2d.default:1;aten.cat.default:1,timm_adv_inception_v3_train;timm_adv_inception_v3_train_000;timm_inception_v3_train;timm_inception_v3_train_000;timm_timm_adv_inception_v3_train_train_000;timm_timm_inception_v3_train_train_000
amax_sum_sum,30,5.223049013210932,2.1701272777915137,2.128647883590415,amax_sum_sum_dc96a87ba8db;amax_sum_sum_9e768dff4978;amax_sum_sum_1bad0f362efd;amax_sum_sum_8b606a2377c7;amax_sum_sum_e2f518f0a274;amax_sum_sum_b9ac8700504c;amax_sum_sum_6fd07d12d98a;amax_sum_sum_86d05d6810f4;amax_sum_sum_31600750c3c4;amax_sum_sum_d85e67b00643;amax_sum_sum_f9833ae619a1;amax_sum_sum_0e37ca9164b3,prims.convert_element_type.default:2;aten.amax.default:1;aten.div.Tensor:1;aten.exp.default:1;aten.sub.Tensor:1;aten.sum.default:1;aten.sum.dim_IntList:1,genai_SoftmaxBackward_000
amax_sum_amax,3,5.110783044183237,4.613995693456764,5.009360803115043,amax_sum_amax_2a81770def44;amax_sum_amax_68fa105ccaf0;amax_sum_amax_9faf4a02126a,aten.add.Tensor:11;aten.unsqueeze.default:8;aten.mul.Tensor:7;aten.div.Tensor:6;aten.full.default:5;prims.convert_element_type.default:5;aten.expand.default:4;aten.permute.default:4;aten.view.default:4;aten.where.self:4;aten.gt.Scalar:3;aten.minimum.default:3,torchbench_hf_T5_base_train_000
argmax_mean,2,4.601351204308625,3.224214198362742,4.601351204308625,argmax_mean_9cf9e9271ff1;argmax_mean_180a59791f51,aten.view.default:12;aten.expand.default:7;aten.cat.default:5;aten.slice.Tensor:4;aten.add.Tensor:3;aten.mul.Tensor:3;aten.permute.default:3;<built-in function getitem>:2;aten.gather.default:2;aten.remainder.Scalar:2;aten.repeat.default:2;aten.unsqueeze.default:2,torchbench_hf_Reformer_infer_005
