repro_id,repro_path,pattern_prefix,raw_sol_gap,launch_adjusted_gap_1us,launch_adjusted_gap_3us,launch_adjusted_gap_5us,best_compile_us,memcopy_sol_us,n_kernels,excess_us_vs_launch_adjusted_sol_3us,priority_score_3us,models,top_ops,launch_adjusted_priority_rank_3us
sum_sum_sum_45f02142ecfd,repros/canonical/sum_sum_sum_45f02142ecfd/repro.py,sum_sum_sum,61.876322903551035,59.079388659019656,54.18119104387311,50.03301671888984,14377.087593078613,232.35200345516205,11,14111.735589623451,83983.39159075345,torchbench_pytorch_unet_train_001,aten.unsqueeze.default:16;aten.mul.Tensor:14;aten.add.Tensor:7;aten.index_put.default:4;aten.sub.Tensor:4;aten.neg.default:3;aten.sum.dim_IntList:3;aten.squeeze.dims:2;aten.constant_pad_nd.default:1;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1,1
sum_sum_sum_f90d684d32cb,repros/canonical/sum_sum_sum_f90d684d32cb/repro.py,sum_sum_sum,36.33164074985788,34.59671587340539,31.580612594149386,29.04822094279433,4347.008228302002,119.64800208806992,6,4209.360226213932,21817.764881581454,torchbench_pytorch_unet_train_001,aten.unsqueeze.default:16;aten.mul.Tensor:14;aten.add.Tensor:7;aten.index_put.default:4;aten.sub.Tensor:4;aten.neg.default:3;aten.sum.dim_IntList:3;aten.squeeze.dims:2;aten.constant_pad_nd.default:1;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1,2
sum_sum_sum_afd118ca907d,repros/canonical/sum_sum_sum_afd118ca907d/repro.py,sum_sum_sum,9.728086427317434,9.639677140898147,9.46759331428382,9.30154568106643,6364.192008972168,654.2080044746399,6,5691.984004497528,18681.97971515403,torchbench_hf_T5_train_001,aten.add.Tensor:12;aten.view.default:9;aten.mul.Tensor:6;aten.sum.dim_IntList:4;aten.permute.default:3;aten.unsqueeze.default:3;aten.where.self:3;aten.clone.default:2;aten.eq.Scalar:2;aten.full.default:2;aten.index_put.default:2;aten.neg.default:2,3
sum_sum_sum_7b24a3457260,repros/canonical/sum_sum_sum_7b24a3457260/repro.py,sum_sum_sum,4.423862026365968,4.408084307002162,4.3768641047774475,4.346083025854559,7415.808200836182,1676.31995677948,6,5721.488244056702,12274.345294722776,torchbench_hf_T5_base_train_001,aten.add.Tensor:24;aten.view.default:9;aten.mul.Tensor:6;aten.sum.dim_IntList:4;aten.permute.default:3;aten.unsqueeze.default:3;aten.where.self:3;aten.clone.default:2;aten.eq.Scalar:2;aten.full.default:2;aten.index_put.default:2;aten.neg.default:2,4
sum_adeaebad93f7,repros/canonical/sum_adeaebad93f7/repro.py,sum,15.155210415077814,14.87731671169541,14.351021350409304,13.860689866426641,2434.0479373931885,160.60799360275269,3,2264.439943790436,8880.549183180341,torchbench_demucs_train_000,aten.gather.default:4;prims.inductor_lookup_seed.default:4;aten.expand.default:3;prims.inductor_randint.default:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.sub.Tensor:2;aten.view.default:2;aten.add.Tensor:1;aten.cat.default:1;aten.slice.Tensor:1;aten.sort.default:1,5
sum_sum_sum_8e6cde42e572,repros/canonical/sum_sum_sum_8e6cde42e572/repro.py,sum_sum_sum,6.658984716714652,6.535925419538733,6.302965432616123,6.08604068702148,2829.375982284546,424.8960018157959,8,2380.47998046875,6511.33219660754,torchbench_pytorch_unet_train_001,aten.unsqueeze.default:16;aten.mul.Tensor:11;aten.sub.Tensor:4;aten.sum.dim_IntList:3;aten.view.default:3;aten.add.Tensor:2;aten.squeeze.dims:2;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1;aten.scatter_add.default:1;aten.slice.Tensor:1,6
amax_sum_sum_dc96a87ba8db,repros/canonical/amax_sum_sum_dc96a87ba8db/repro.py,amax_sum_sum,5.223049013210932,5.206352566919395,5.173277879681794,5.140620770504847,3257.3440074920654,623.6479878425598,2,2627.6960196495056,6266.771851745701,genai_SoftmaxBackward_000,prims.convert_element_type.default:2;aten.amax.default:1;aten.div.Tensor:1;aten.exp.default:1;aten.sub.Tensor:1;aten.sum.default:1;aten.sum.dim_IntList:1,7
sum_sum_sum_dadf6aa035dd,repros/canonical/sum_sum_sum_dadf6aa035dd/repro.py,sum_sum_sum,21.592536268979867,19.727251489115524,16.82105647495679,14.661187872827197,1370.1759576797485,63.45599889755249,6,1288.719958782196,5712.200709540144,torchbench_pytorch_unet_train_001,aten.unsqueeze.default:16;aten.mul.Tensor:14;aten.add.Tensor:7;aten.index_put.default:4;aten.sub.Tensor:4;aten.neg.default:3;aten.sum.dim_IntList:3;aten.squeeze.dims:2;aten.constant_pad_nd.default:1;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1,8
sum_18262b26934c,repros/canonical/sum_18262b26934c/repro.py,sum,9.603062197429857,9.328375061125877,8.823592856485183,8.37063634063094,1304.479956626892,135.83999872207642,4,1156.6399579048157,3774.688166236057,torchbench_squeezenet1_1_train_001,aten.view.default:3;aten.full.default:1;aten.scatter_add.default:1;aten.sum.dim_IntList:1;aten.where.self:1;prims._low_memory_max_pool_offsets_to_indices.default:1,9
sum_sum_cdaed89f373c,repros/canonical/sum_sum_cdaed89f373c/repro.py,sum_sum,4.066896884300916,4.0208561455287795,3.9318327501993076,3.8466659958429834,2486.207962036133,611.3280057907104,7,1853.8799562454224,3752.120315693777,torchbench_resnet18_train_001,aten.unsqueeze.default:16;aten.mul.Tensor:11;aten.sub.Tensor:4;aten.view.default:3;aten.add.Tensor:2;aten.squeeze.dims:2;aten.sum.dim_IntList:2;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1;aten.scatter_add.default:1;aten.where.self:1,10
