repro_id,repro_path,shape_label,family,oracle_impl,oracle_path,hardware,device_name,git_commit,compiled_us,coord_descent_us,best_compile_us,memcopy_sol_us,oracle_us,total_bytes,n_kernels,oracle_over_sol,speedup_vs_best_compile,correct,max_abs_diff,tolerance,n_warmup,n_rep,timestamp,notes
amax_sum_sum_dc96a87ba8db,repros/canonical/amax_sum_sum_dc96a87ba8db/repro.py,8192x262144,online_softmax_cross_entropy,triton_online_softmax_sum_two_stage,repros/canonical/amax_sum_sum_dc96a87ba8db/oracle_softmax_sum.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3541.055917739868,3257.3440074920654,3257.3440074920654,623.6479878425598,1638.368010520935,4294967298,2,2.6270717495436573,1.9881638231305316,not_checked,,not_checked,10,30,2026-06-03T11:07:15.027379+00:00,Oracle avoids materializing full bf16 softmax; exact repro-equivalent scalar sum within bf16 tolerance.
sum_18262b26934c,repros/canonical/sum_18262b26934c/repro.py,default,structured_pool_upsample_backward_reduce,triton_maxpool_direct_reduce,repros/canonical/sum_18262b26934c/oracle_maxpool_direct_reduce.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1415.1040315628052,1304.479956626892,1304.479956626892,135.83999872207642,579.456,899350788,4,4.26572442175552,2.2512148577750373,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293070+00:00,not_checked; local --no-append run
sum_sum_sum_f90d684d32cb,repros/canonical/sum_sum_sum_f90d684d32cb/repro.py,default,structured_pool_upsample_backward_reduce,torch_direct_structured_upsample_reduce,repros/canonical/sum_sum_sum_f90d684d32cb/oracle_structured_upsample_reduce.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,4347.008228302002,8097.79167175293,4347.008228302002,119.64800208806992,93505.686,784484956,6,781.5064553369875,0.04648923947044249,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293089+00:00,not a true floor; torch-direct scaffold timing
sum_sum_sum_70d71fcb0d68,repros/canonical/sum_sum_sum_70d71fcb0d68/repro.py,default,multi_output_reduction_templates,torch_direct_multi_output_reduction,repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,992.0960068702698,939.9679899215698,939.9679899215698,154.52800691127777,6579.374,1027773956,7,42.577226818032706,0.1428658699021472,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293096+00:00,not a true floor; torch-direct scaffold timing
amax_sum_3ed297ef02cd,repros/canonical/amax_sum_3ed297ef02cd/repro.py,default,online_softmax_cross_entropy,triton_online_softmax,repros/canonical/amax_sum_3ed297ef02cd/oracle_online_softmax.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,2078.9,,2078.9,1243.1679964065552,1942.9,8589934592.0,1,1.5628619829468409,1.0699984559164135,true,4.768372e-07,1e-2,3,10,2026-06-03T13:58:11.684730+00:00,true Triton online softmax oracle; script auto-append normalized after schema mismatch
sum_sum_cdaed89f373c,repros/canonical/sum_sum_cdaed89f373c/repro.py,default,multi_output_reduction_templates,triton_fused_reduction_epilogue,repros/canonical/sum_sum_cdaed89f373c/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,2517.035,2521.824,2517.035,611.3280057907104,1492.558,4213179652.0,7,2.441501102292017,1.6863900766335378,not_checked,,not_checked,,,2026-06-03T13:58:11.684730+00:00,"true fused reduction+epilogue oracle; full upstream version measured 15639.680us, oracle excludes upstream work"
sum_sum_6a14a9c9ba88,repros/canonical/sum_sum_6a14a9c9ba88/repro.py,default,multi_output_reduction_templates,triton_dual_reduction_pointwise,repros/canonical/sum_sum_6a14a9c9ba88/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3394.4,3894.8,3394.4,242.5920069217682,2491.8,1634444548.0,8,10.271566782509712,1.362228108194879,not_checked,,not_checked,,,2026-06-03T13:58:11.684730+00:00,partial true oracle for fused dual-reduction+post-reduction pointwise; scatter_add/maxpool backward precomputed
pointwise_71e3a6c09140,repros/canonical/pointwise_71e3a6c09140/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_71e3a6c09140/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1318.886992521584,not_checked,nan,not_checked,10,50,2026-06-03T14:15:30.808222+00:00,"Fused BN-affine+ReLU+MaxPool avoids materializing [128,64,147,147] intermediates."
pointwise_8793407401ab,repros/canonical/pointwise_8793407401ab/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_8793407401ab/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3109.2569697648287,not_checked,nan,not_checked,10,50,2026-06-03T14:15:34.468323+00:00,"Fused BN+ReLU+bilinear upsample+pad+cat avoids [8,64,640,958] intermediate materializations."
pointwise_13f26d420251,repros/canonical/pointwise_13f26d420251/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_13f26d420251/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1665.9810207784176,not_checked,nan,not_checked,10,50,2026-06-03T14:15:37.976726+00:00,"Fused BN-affine+ReLU+MaxPool avoids [128,192,71,71] intermediates; AvgPool separate."
