model,n_repros,n_total_repros,sum_compile_us,sum_achievable_us,speedup,total_gap_us,top_bottleneck_repro,top_bottleneck_classification,top_bottleneck_gap_us
torchbench_pyhpc_equation_of_state_infer,1,1,83.90,14.92,5.6224,68.98,pointwise_a2382a85ee99,pointwise_expression_heuristic,68.98
torchbench_hf_T5_train,13,14,8479.58,1600.53,5.2980,6879.05,sum_sum_sum_afd118ca907d,fused_softmax_backward_attention_backward,5913.32
torchbench_pyhpc_isoneutral_mixing_infer,1,2,939.78,211.89,4.4352,727.88,pointwise_70c0751eb408,layout_stencil_functional_update_heuristic,727.88
torchbench_pyhpc_turbulent_kinetic_energy_infer,1,2,548.77,153.70,3.5705,395.07,pointwise_531d72f1b34a,layout_stencil_functional_update_heuristic,395.07
torchbench_shufflenet_v2_x1_0_infer,3,3,185.02,63.08,2.9332,121.94,pointwise_cf3acd87ba9e,pointwise_expression_heuristic,55.69
hf_GPTJForQuestionAnswering_train,2,2,36.28,13.15,2.7597,23.14,sum_sum_sum_e3016fe2bbb7,multi_output_reduction_templates,19.20
genai_CrossEntropyForward,1,1,2224.03,956.20,2.3259,1267.83,amax_sum_f0661488d68c,online_softmax_cross_entropy,1267.83
torchbench_resnet152_train,2,2,343.62,160.98,2.1346,182.64,var_mean_598830735cf6,norm_template_heuristic,107.88
torchbench_resnet152_infer,4,4,129.79,63.82,2.0337,65.97,pointwise_f2df04089ff4,pointwise_expression_heuristic,58.61
hf_AllenaiLongformerBase_infer,9,21,1344.42,678.34,1.9819,666.08,amax_sum_68fe981b18dd,online_softmax_ce_heuristic,470.47
genai_SoftmaxBackward,2,2,6242.30,3326.64,1.8765,2915.66,amax_sum_sum_dc96a87ba8db,online_softmax_cross_entropy,1618.98
torchbench_vgg16_train,10,10,2324.58,1266.59,1.8353,1057.99,sum_34d3dca078b3,structured_pool_upsample_backward_reduce,756.72
torchbench_densenet121_infer,11,11,423.07,230.56,1.8350,192.51,pointwise_437415a3398d,SCHEDULER_FUSION,170.18
hf_AllenaiLongformerBase_train,27,31,7497.17,4396.98,1.7051,3100.19,amax_sum_4c524f75213e,online_softmax_ce_heuristic,668.27
torchbench_timm_vovnet_infer,2,2,47.01,27.66,1.6996,19.35,pointwise_976768b988b8,pointwise_expression_heuristic,11.24
timm_mobilenetv2_100_train,8,8,652.10,385.80,1.6902,266.30,sum_sum_d550f2d61c6c,SCHEDULER_FUSION,159.78
torchbench_resnet18_train,1,1,2517.03,1492.56,1.6864,1024.48,sum_sum_cdaed89f373c,multi_output_reduction_templates,1024.48
torchbench_resnet50_train,1,1,664.60,398.40,1.6682,266.20,sum_sum_145a8857ebf2,SCATTER_REDUCE,266.20
timm_mobilenetv3_large_100_train,11,13,2118.31,1288.13,1.6445,830.18,sum_sum_a3da3e05e5db,multi_output_reduction_heuristic,300.68
torchbench_hf_Longformer_train,16,17,1008.06,613.43,1.6433,394.63,sum_5a4992885bd6,multi_output_reduction_heuristic,130.78
torchbench_squeezenet1_1_train,10,12,4917.50,2992.87,1.6431,1924.62,sum_18262b26934c,structured_pool_upsample_backward_reduce,725.02
torchbench_hf_Longformer_infer,7,12,381.47,233.14,1.6362,148.33,amax_sum_9940b361e5b4,NEW_PATTERN,148.30
hf_GPTJForCausalLM_train,10,14,257.47,157.37,1.6361,100.10,sum_sum_sum_9e60972dd685,structured_scatter_reduce_heuristic,99.27
hf_GPTJForQuestionAnswering_infer,1,1,8.19,5.06,1.6203,3.14,amax_sum_sum_5829d7f5105f,online_softmax_cross_entropy,3.14
timm_adv_inception_v3_train,24,27,12826.30,7953.41,1.6127,4872.88,sum_sum_6a14a9c9ba88,multi_output_reduction_templates,902.60
torchbench_alexnet_infer,1,1,265.70,166.85,1.5924,98.85,pointwise_e33f44c6dd73,NEW_PATTERN,98.85
torchbench_shufflenet_v2_x1_0_train,10,10,1936.52,1227.30,1.5779,709.22,sum_sum_a42eecd58e57,structured_scatter_reduce_heuristic,470.70
torchbench_phlippe_resnet_train,3,3,56.13,35.66,1.5740,20.47,sum_sum_sum_aa0a63761645,multi_output_reduction_heuristic,19.13
vllm_Qwen_Qwen3-30B-A3B,13,14,1172.38,749.13,1.5650,423.26,sum_sum_d73ef74614dc,SCATTER_REDUCE,269.70
torchbench_nanogpt_train,4,7,106.74,68.74,1.5528,38.00,sum_sum_sum_c0e210b86b78,SCATTER_REDUCE,38.00
torchbench_hf_GPT2_train,5,6,327.11,211.01,1.5502,116.10,amax_sum_sum_e2f518f0a274,ONLINE_CROSS_ENTROPY (codegen template overhead in looped online softmax),65.30
torchbench_doctr_det_predictor_infer,3,3,180.54,116.89,1.5446,63.66,pointwise_886d1802a767,pointwise_expression_heuristic,30.02
hf_DistillGPT2_infer,2,4,1126.27,731.66,1.5393,394.61,amax_sum_sum_6fd07d12d98a,online_softmax_ce_heuristic,394.61
timm_ghostnet_100_infer,7,10,282.53,184.36,1.5325,98.16,mean_f7170c220032,norm_template_heuristic,42.82
torchbench_timm_nfnet_train,2,2,73.41,48.68,1.5081,24.73,sum_27f8a4b9ab09,multi_output_reduction_heuristic,13.85
genai_CrossEntropyBackward,2,2,3837.92,2549.95,1.5051,1287.97,amax_sum_sum_1bad0f362efd,online_softmax_cross_entropy,1287.97
torchbench_timm_resnest_infer,3,4,59.07,40.12,1.4724,18.95,pointwise_6a5649feb1f2,pointwise_expression_heuristic,9.71
timm_ghostnet_100_train,28,29,3489.60,2378.31,1.4673,1111.30,sum_sum_sum_95dac16d4328,multi_output_reduction_heuristic,415.71
hf_BertForMaskedLM_train,14,16,4728.63,3269.50,1.4463,1459.13,sum_sum_1a663e225990,ALGEBRAIC_ELIMINATION,755.60
timm_mobilevit_s_train,17,21,1427.37,992.33,1.4384,435.04,sum_sum_sum_9fe928f49216,multi_output_reduction_heuristic,159.06
torchbench_mobilenet_v3_large_train,6,7,233.06,162.20,1.4368,70.85,sum_sum_2b7bf2b45160,multi_output_reduction_heuristic,31.96
torchbench_densenet121_train,39,39,3556.78,2476.04,1.4365,1080.74,sum_sum_sum_8fe65349c733,SCATTER_REDUCE,285.90
vllm_mistralai_Mistral-7B-Instruct-v0.3,3,3,288.44,201.87,1.4289,86.57,sum_sum_17a11b547fed,SCATTER_REDUCE,68.73
hf_ElectraForCausalLM_infer,1,3,1215.39,851.41,1.4275,363.98,amax_sum_sum_d5ddd6e16182,online_softmax_ce_heuristic,363.98
hf_M2M100ForConditionalGeneration_train,8,12,484.00,340.41,1.4218,143.59,pointwise_55a3cc897c83,pointwise_expression_heuristic,66.50
torchbench_hf_Bart_train,10,13,306.85,218.45,1.4047,88.40,amax_sum_any_24355de03713,online_softmax_ce_heuristic,35.32
hf_GPTNeoForSequenceClassification_train,3,3,154.91,110.34,1.4040,44.58,sum_sum_sum_d0496bdeedba,structured_scatter_reduce_heuristic,42.66
torchbench_phlippe_densenet_train,4,4,133.78,95.39,1.4025,38.39,sum_sum_sum_d8e421a07bf7,multi_output_reduction_heuristic,20.89
timm_tf_efficientnet_b0_train,11,11,1982.13,1434.45,1.3818,547.68,sum_sum_2a2b5ec72fea,SCATTER_REDUCE,299.90
vllm_Qwen_Qwen3-0.6B,12,17,1278.86,927.32,1.3791,351.54,amax_sum_sum_9e768dff4978,online_softmax_ce_heuristic,235.24
timm_adv_inception_v3_infer,12,12,3134.35,2291.53,1.3678,842.82,pointwise_e26de0a669ae,pointwise_expression_heuristic,235.57
hf_MegatronBertForCausalLM_infer,2,4,321.98,235.71,1.3660,86.27,amax_sum_sum_4c98004c3aa3,online_softmax_ce_heuristic,86.27
hf_LayoutLMForMaskedLM_train,4,4,415.39,307.66,1.3502,107.73,sum_sum_sum_a3f8e893e349,structured_scatter_reduce_heuristic,89.25
timm_swin_base_patch4_window7_224_train,63,76,10202.22,7565.57,1.3485,2636.66,sum_sum_sum_4d7a27f102ca,SCATTER_REDUCE,486.40
hf_MobileBertForMaskedLM_train,14,20,6851.24,5124.77,1.3369,1726.47,sum_sum_ba803596a087,BANDWIDTH_BOUND,1640.30
torchbench_timm_nfnet_infer,7,7,220.67,166.98,1.3215,53.69,pointwise_0dbfa02ebb68,pointwise_expression_heuristic,17.73
torchbench_hf_Reformer_train,13,18,965.41,731.43,1.3199,233.98,argmax_mean_180a59791f51,online_softmax_ce_heuristic,84.19
torchbench_mobilenet_v3_large_infer,5,6,122.30,92.97,1.3155,29.33,pointwise_f564ff7f54c2,pointwise_expression_heuristic,17.88
torchbench_squeezenet1_1_infer,4,4,1228.93,938.88,1.3089,290.05,pointwise_f9c1d1b08ddb,pointwise_expression_heuristic,255.86
torchbench_demucs_train,9,12,6371.62,4927.81,1.2930,1443.81,sum_b691b8dad90a,multi_output_reduction_heuristic,1158.29
torchbench_hf_GPT2_large_train,5,6,269.24,208.33,1.2923,60.90,sum_sum_sum_280231331614,SCATTER_REDUCE,54.00
torchbench_alexnet_train,8,9,1698.45,1315.68,1.2909,382.78,pointwise_1f7516b9892a,pointwise_expression_heuristic,210.45
torchbench_hf_Bert_large_train,6,6,357.45,277.13,1.2898,80.32,sum_sum_sum_812de8ed33fc,scatter_reduce (BERT-large embedding/layernorm-backward),44.60
torchbench_mnasnet1_0_infer,3,3,56.83,44.10,1.2887,12.73,mean_148ad2fc17ca,norm_template_heuristic,9.92
timm_timm_visformer_small_train_train,10,11,749.85,591.29,1.2682,158.57,sum_sum_sum_22bc9d6a43f1,multi_output_reduction_heuristic,82.28
vllm_meta-llama_Llama-3.2-1B,6,7,553.86,436.78,1.2680,117.07,sum_sum_ceb449ea29e4,structured_scatter_reduce_heuristic,106.46
torchbench_hf_DistilBert_train,5,6,367.01,289.75,1.2667,77.26,amax_sum_any_0986fbf8aadc,online_softmax_ce_heuristic,35.99
hf_GoogleFnet_train,9,9,729.79,579.35,1.2597,150.43,sum_sum_sum_e2388f04f7c2,COOPERATIVE_SPLIT_K,53.00
timm_dm_nfnet_f0_train,16,23,1619.98,1287.79,1.2580,332.19,sum_c836f36190be,multi_output_reduction_heuristic,119.37
timm_vit_base_patch16_siglip_256_train,4,9,344.03,274.44,1.2536,69.59,sum_sum_sum_985bf52428b3,multi_output_reduction_heuristic,49.67
timm_timm_vit_base_patch14_dinov2.lvd142m_train_train,4,5,1915.84,1543.76,1.2410,372.08,sum_sum_sum_8d668b8fcd9e,multi_output_reduction_heuristic,299.66
