model,fusible_compile_us,fusible_achievable_us,nf_estimated_us,total_estimated_us,nf_fraction_pct,max_fusion_speedup,total_nf_tflops,primary_dtype,nf_op_breakdown
hf_AlbertForMaskedLM_train,3591.7,3568.8,448521.0,452112.7,99.2,1.000,60.5503,f32,matmul:297
hf_GPTNeoForCausalLM_train,1405.1,1195.7,401552.1,402957.2,99.7,1.001,54.2095,f32,matmul:965
hf_GPTNeoForSequenceClassification_train,154.9,110.3,370323.4,370478.3,100.0,1.000,49.9937,f32,matmul:965
hf_DebertaV2ForMaskedLM_train,1028.7,955.1,274017.8,275046.5,99.6,1.000,36.9924,f32,matmul:970
hf_MegatronBertForCausalLM_train,1218.1,1091.9,223322.4,224540.5,99.5,1.001,30.1485,f32,matmul:730;sdpa:168
hf_DistilBertForMaskedLM_train,1030.1,853.5,163702.4,164732.5,99.4,1.001,22.0998,f32,matmul:250
hf_AlbertForMaskedLM_infer,294.6,284.8,149952.4,150247.0,99.8,1.000,20.2436,f32,matmul:99
hf_LayoutLMForMaskedLM_train,415.4,307.7,148280.0,148695.4,99.7,1.001,20.0178,f32,matmul:370;sdpa:84
hf_BlenderbotForCausalLM_infer,22.4,22.4,116730.9,116753.3,100.0,1.000,15.7587,f32,matmul:145;sdpa:24
hf_M2M100ForConditionalGeneration_train,484.0,340.4,115920.4,116404.4,99.6,1.001,15.6493,f32,matmul:118;sdpa:8
torchbench_resnext50_32x4d_train,0.0,0.0,106996.2,106996.2,100.0,1.000,14.4445,f32,conv:53;matmul:3
hf_GoogleFnet_train,729.8,579.4,99977.3,100707.1,99.3,1.001,13.4969,f32,matmul:135
torchbench_hf_T5_base_train,10032.9,8758.9,95312.5,105345.4,90.5,1.012,12.8672,f32,matmul:795
hf_DistillGPT2_train,4969.2,4205.1,89840.1,94809.3,94.8,1.008,12.1284,f32,matmul:125;sdpa:42
torchbench_hf_GPT2_large_train,269.2,208.3,88757.2,89026.4,99.7,1.001,11.9822,f32,matmul:435;sdpa:144
hf_BertForMaskedLM_train,4728.6,3269.5,84214.9,88943.5,94.7,1.017,11.3690,f32,matmul:294
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_infer,90.4,90.4,82743.4,82833.8,99.9,1.000,11.1704,f32,matmul:305;sdpa:24
hf_GPTNeoForCausalLM_infer,78.3,78.3,80310.4,80388.8,99.9,1.000,10.8419,f32,matmul:193
torchbench_resnet50_train,664.6,398.4,80031.9,80696.5,99.2,1.003,10.8043,f32,conv:53;matmul:3
torchbench_BERT_pytorch_train,2289.7,1846.0,74466.8,76756.5,97.0,1.006,10.0530,f32,matmul:294
hf_GPTNeoForSequenceClassification_infer,0.0,0.0,74064.6,74064.6,100.0,1.000,9.9987,f32,matmul:193
hf_M2M100ForConditionalGeneration_infer,77.7,77.7,59825.3,59903.0,99.9,1.000,8.0764,f32,matmul:241;sdpa:12
hf_GPTJForCausalLM_train,257.5,157.4,55795.6,56053.0,99.5,1.002,7.5324,f32,matmul:845;sdpa:196
hf_DebertaV2ForMaskedLM_infer,63.4,63.4,55605.3,55668.7,99.9,1.000,7.5067,f32,matmul:194
hf_GPTJForQuestionAnswering_train,36.3,13.2,53838.3,53874.6,99.9,1.000,7.2682,f32,matmul:845;sdpa:196
torchbench_resnet152_train,343.6,161.0,53549.0,53892.6,99.4,1.003,7.2291,f32,conv:155;matmul:3
hf_GPT2ForSequenceClassification_train,291.1,246.2,53348.2,53639.3,99.5,1.001,7.2020,f32,matmul:245;sdpa:84
hf_MobileBertForMaskedLM_train,6851.2,5124.8,52973.7,59824.9,88.5,1.030,7.1514,f32,matmul:1233
hf_MT5ForConditionalGeneration_train,933.0,800.8,52788.3,53721.3,98.3,1.002,7.1264,f32,matmul:965
