repro_id,family,best_compile_us,oracle_floor_us,gap_ratio,gap_us,inductor_fix,fix_status
var_mean_e814c09a1fdb,norm_template_canonicalization,1850.208,154.400,11.983,1695.808,norm_template_fusion,large_gap
amax_sum_sum_dc96a87ba8db,online_softmax_cross_entropy,3190.720,1638.368,1.947,1552.352,online_softmax_fusion,needs_work
amax_sum_3ed297ef02cd,online_softmax_cross_entropy,3469.248,1942.900,1.786,1526.348,online_softmax_fusion,needs_work
amax_sum_sum_1bad0f362efd,online_softmax_cross_entropy,2252.672,964.700,2.335,1287.972,online_softmax_fusion,needs_work
sum_b691b8dad90a,multi_output_reduction_templates,2224.160,,,,multi_output_reduction,not_true_floor
amax_sum_f0661488d68c,online_softmax_cross_entropy,2224.032,956.200,2.326,1267.832,online_softmax_fusion,needs_work
sum_sum_cdaed89f373c,multi_output_reduction_templates,2513.856,1492.558,1.684,1021.298,multi_output_reduction,needs_work
sum_sum_sum_1627b1a3a6f6,structured_pool_upsample_backward_reduce,1217.472,254.300,4.788,963.172,scatter_reduce_fusion,large_gap
amax_sum_amax_2a81770def44,online_softmax_cross_entropy,1289.120,,,,online_softmax_fusion,scope_mismatch
sum_sum_0930bd38b7d1,multi_output_reduction_templates,1294.336,,,,multi_output_reduction,scope_mismatch
sum_sum_a7c7ab7bfcf5,multi_output_reduction_templates,1371.872,551.000,2.490,820.872,multi_output_reduction,needs_work
sum_34d3dca078b3,structured_pool_upsample_backward_reduce,1062.816,306.100,3.472,756.716,scatter_reduce_fusion,large_gap
amax_sum_87e1fb077f24,online_softmax_cross_entropy,827.360,,,,online_softmax_fusion,scope_mismatch
sum_18262b26934c,structured_pool_upsample_backward_reduce,1298.368,579.456,2.241,718.912,scatter_reduce_fusion,needs_work
amax_sum_amax_68fa105ccaf0,online_softmax_cross_entropy,848.896,,,,online_softmax_fusion,scope_mismatch
amax_sum_4c524f75213e,online_softmax_cross_entropy,752.608,,,,online_softmax_fusion,scope_mismatch
sum_617cd87647d6,multi_output_reduction_templates,713.664,,,,multi_output_reduction,scope_mismatch
var_mean_f0d7c08a0622,norm_template_canonicalization,909.152,366.500,2.481,542.652,norm_template_fusion,needs_work
amax_sum_68fe981b18dd,online_softmax_cross_entropy,556.928,,,,online_softmax_fusion,scope_mismatch
sum_sum_sum_86dbf5a906db,multi_output_reduction_templates,1727.360,1298.500,1.330,428.860,multi_output_reduction,small_gap
sum_sum_sum_2c925f59efff,structured_pool_upsample_backward_reduce,436.160,87.000,5.013,349.160,scatter_reduce_fusion,large_gap
sum_e00c7291b6ee,multi_output_reduction_templates,2805.568,,,,multi_output_reduction,not_true_floor
pointwise_71e3a6c09140,layout_indexing_stencil_fusion,754.560,1317.084,0.573,-562.524,stencil_layout_fusion,not_true_floor
sum_7df61c52c7f8,structured_pool_upsample_backward_reduce,636.800,1270.000,0.501,-633.200,scatter_reduce_fusion,not_true_floor
sum_sum_6a14a9c9ba88,multi_output_reduction_templates,1626.400,2491.800,0.653,-865.400,multi_output_reduction,not_true_floor
pointwise_13f26d420251,layout_indexing_stencil_fusion,645.088,1667.680,0.387,-1022.592,stencil_layout_fusion,not_true_floor
pointwise_8793407401ab,layout_indexing_stencil_fusion,1737.568,3102.231,0.560,-1364.663,stencil_layout_fusion,not_true_floor
sum_sum_sum_431633879271,multi_output_reduction_templates,833.344,4262.000,0.196,-3428.656,multi_output_reduction,not_true_floor
sum_sum_8bcd6e12dcd4,structured_pool_upsample_backward_reduce,781.312,5011.795,0.156,-4230.483,scatter_reduce_fusion,not_true_floor
sum_sum_sum_82a3f0084247,multi_output_reduction_templates,528.512,5974.700,0.088,-5446.188,multi_output_reduction,not_true_floor
sum_sum_sum_db1524bc41dd,multi_output_reduction_templates,1634.272,11669.900,0.140,-10035.628,multi_output_reduction,not_true_floor
pointwise_485ad74a8b0e,layout_indexing_stencil_fusion,795.520,55263.929,0.014,-54468.409,stencil_layout_fusion,not_true_floor
